Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
Excellyon,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
hazmeme,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
pbt,Graded (No Limit),A Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Scheffe,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Sakura Bakushin O,Front Runner,Debuffer,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Sakura Bakushin O - Front Runner - Debuffer,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Girlnouns,Graded (No Limit),A Finals,2nd,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Front Runner - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Dialectical,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Caelint,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace
Umi,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Debuffer,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Debuffer
JG,Graded (No Limit),A Finals,2nd,Hishi Akebono,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Hishi Akebono - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
keo,Graded (No Limit),A Finals,2nd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Gold City,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Gold City - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
iteriani,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,URA Scenario Ace,Oguri Cap,Late Surger,URA Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - URA Scenario Ace,Oguri Cap - Late Surger - URA Scenario Ace
kirin,Graded (No Limit),B Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,El Condor Pasa,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,El Condor Pasa - Pace Chaser - Unity Cup Scenario Ace
Seksibro,Graded (No Limit),A Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
CanadaPanda,Graded (No Limit),A Finals,2nd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
Uweyuwbyhas,Graded (No Limit),A Finals,3rd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace
Passel,Graded (No Limit),A Finals,1st,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Heisui,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Gold City,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Gold City - Late Surger - Unity Cup Scenario Ace
deep8,Graded (No Limit),B Finals,1st,Hishi Amazon,End Closer,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Hybrid (blocker/ace),Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Hishi Amazon - End Closer - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Hybrid (blocker/ace),Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
J,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
TMK1k,Graded (No Limit),A Finals,2nd,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,El Condor Pasa,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,El Condor Pasa - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Placido,Graded (No Limit),A Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,El Condor Pasa,Pace Chaser,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,El Condor Pasa - Pace Chaser - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace
hash2,Graded (No Limit),A Finals,1st,Narita Brian,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Brian - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Marifrit,Graded (No Limit),A Finals,2nd,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Cheesemon,Graded (No Limit),A Finals,2nd,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Gold Ship,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Gold Ship - Late Surger - Unity Cup Scenario Ace
Yun,Graded (No Limit),B Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
MASTER,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Excelt,Graded (No Limit),A Finals,3rd,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,TM Opera O - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
RunMaster,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Knighted,Graded (No Limit),A Finals,1st,Mayano Top Gun (Wedding),Late Surger,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun (Wedding) - Late Surger - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Eilyin,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Narita Taishin - End Closer - Unity Cup Scenario Ace
MrZik,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Ocas,Graded (No Limit),A Finals,2nd,Smart Falcon,Front Runner,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Smart Falcon - Front Runner - Unity Cup Scenario Ace,Gold Ship - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Ceobe,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace
Bunsen,Graded (No Limit),A Finals,1st,Sakura Bakushin O,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Sakura Bakushin O - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Lizzie,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Linialomdil,Graded (No Limit),A Finals,1st,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Ausma,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mayano Top Gun,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mayano Top Gun - Late Surger - Unity Cup Scenario Ace
Mikan,Graded (No Limit),A Finals,1st,Gold Ship,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold Ship - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Fx,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Nice Nature,Late Surger,Debuffer,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Nice Nature - Late Surger - Debuffer
Kyou (叫),Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Nazhaz,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Sakura Bakushin O,Front Runner,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Sakura Bakushin O - Front Runner - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace
Mackrel,Graded (No Limit),A Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Aintnoway,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Zanea,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,El Condor Pasa,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,El Condor Pasa - Late Surger - Unity Cup Scenario Ace
Catchiii,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Unity Cup Scenario Ace,Biwa Hayahide,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Hishi Amazon - End Closer - Unity Cup Scenario Ace,Biwa Hayahide - Late Surger - Unity Cup Scenario Ace
Tori,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Groundbold,Graded (No Limit),A Finals,2nd,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Canni,Graded (No Limit),A Finals,3rd,Air Groove (Wedding),Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove (Wedding) - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Dap,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Hines,Graded (No Limit),A Finals,3rd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
bamd,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Myles,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Gold Ship,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Gold Ship - Late Surger - Unity Cup Scenario Ace
B0mbyMori,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
Tappu,Graded (No Limit),A Finals,1st,Eishin Flash,Late Surger,Unity Cup Scenario Ace,Meisho Doto,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Eishin Flash - Late Surger - Unity Cup Scenario Ace,Meisho Doto - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Pittore,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Karhumies,Graded (No Limit),A Finals,2nd,Maruzensky,Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Dashcake,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Lower odds of Let's Pump position/Tight Pack Gambling,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Hishi Amazon - End Closer - Lower odds of Let's Pump position/Tight Pack Gambling,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace
Stuff,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Naelyan,Graded (No Limit),A Finals,1st,Narita Brian,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Brian - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Orion,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
DarnedBen,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Mob,Graded (No Limit),A Finals,1st,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Tachyon - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
GameFanBR,Graded (No Limit),B Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Fridge,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
